generation,gain_enemy_2,gain_enemy_6,gain_enemy_7,gain_enemy_8,kill_enemy_2,kill_enemy_6,kill_enemy_7,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
0,74.0,-92.5,-30.0,-90.0,1.0,0.0,0.0,0.0,0.04230481062486306,0.024099738368301538,0.07478661197881452,0.1405865333715767
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.12280718373171658,0.1661578882126083,0.021565382945181986,0.16097537301875017
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.058607210783105455,0.11322199564755459,0.2668467124973298,0.03426817045628106
0,-82.5,-95.0,-97.5,-85.0,0.0,0.0,0.0,0.0,0.09462085681716499,0.2389007464101048,0.18165534161640537,0.16786973342469597
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0009025251569180658,0.2076298389664831,0.1162001321222794,0.14575303960185063
0,-42.5,-95.0,-30.0,-90.0,0.0,0.0,0.0,0.0,0.2663980498773038,0.2187247201810598,0.07060158173030232,0.07328191480610756
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.09797483398762148,0.18015949720154342,0.17408719172008366,0.1292207242353384
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.05035493496410704,0.09983717879863953,0.23217142350039016,0.014837300125179587
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.18519260732400955,0.020017487977082814,0.2593220534964812,0.030800746445115355
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.23832241994334333,0.21144643146016542,0.06503249008376222,0.09104944072703552
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.013073833473576236,0.26281191568135226,0.2665873787906094,0.2600390464401929
0,-100.0,-100.0,-95.0,-100.0,0.0,0.0,0.0,0.0,0.29020998671816384,0.2653085268862938,0.27430315979591696,0.03349663842856173
0,-82.5,-95.0,-97.5,-85.0,0.0,0.0,0.0,0.0,0.01436710914578264,0.05784703990365578,0.23178172236194083,0.025040482088419722
0,-90.0,-95.0,-97.5,-87.5,0.0,0.0,0.0,0.0,0.2242574482213735,0.13327551371679863,0.24520717819046534,0.25393224611857235
0,6.5,-72.5,-52.5,-82.5,0.5,0.0,0.0,0.0,0.24600377669470072,0.12070494053805639,0.22935271721739997,0.13328159117967966
0,-87.5,-100.0,-97.5,-97.5,0.0,0.0,0.0,0.0,0.2657908912359924,0.23888003450005454,0.06837504910122234,0.07086605913517897
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.03022731716790019,0.0261446286135421,0.03525787948261986,0.164642856031052
0,-50.0,-97.5,-72.5,1.6000000000001222,0.0,0.0,0.0,0.5,0.0324015280547383,0.06330860225929001,0.18865192131844977,0.2806932666301457
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.26932891150005767,0.16297579164185397,0.07050235953223316,0.008675367488766827
0,5.5,-85.0,-62.5,-82.5,0.5,0.0,0.0,0.0,0.25054848716431805,0.24622479802925532,0.17329970012347443,0.22351181119748015
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.20612688815423857,0.2597695309959858,0.17056504485393356,0.03157573316346929
0,-47.5,-95.0,-32.5,-90.0,0.0,0.0,0.0,0.0,0.11315409502160473,0.18820077672901478,0.20916632033776886,0.20693724811329486
0,-60.0,-95.0,-95.0,-82.5,0.0,0.0,0.0,0.0,0.1749037412261608,0.04317632749928794,0.11237230087782991,0.10267833082966334
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.12368462490925752,0.2550940950563474,0.0470130744093362,0.12877144355941633
0,-62.5,-100.0,-67.5,-100.0,0.0,0.0,0.0,0.0,0.13994387627443877,0.007382735968469533,0.29259749753763714,0.16427474910366507
0,-85.0,-95.0,-90.0,-90.0,0.0,0.0,0.0,0.0,0.2133165718398589,0.032192181072659365,0.11291955120151131,0.11236427379801726
0,-62.5,-95.0,-97.5,-80.0,0.0,0.0,0.0,0.0,0.004081770821103769,0.05175317367479726,0.2965874584415258,0.10307256182021926
0,-42.5,-90.0,-75.0,-90.0,0.0,0.0,0.0,0.0,0.08721886560122014,0.1780381994207992,0.24743908750892366,0.05830958938799344
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.12140528397372818,0.22134889051273485,0.05113462868792205,0.159760864738681
0,-57.5,-97.5,-52.5,-90.0,0.0,0.0,0.0,0.0,0.29430825681217343,0.08987368195115066,0.17270230632157324,0.16023793030384914
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.02245174294819503,0.06312553969687597,0.292575090198308,0.20571249976328163
