generation,gain_enemy_5,kill_enemy_5,sigma_0,sigma_1,sigma_2,sigma_3
0,-40.799999999999685,0.0,0.2916792346569253,0.1448658126181534,0.10694629647899884,0.03561886069873205
0,-30.0,0.0,0.10656950102468542,0.09319444445382839,0.16800917387486444,0.22833783523126536
0,-100.0,0.0,0.09126750461947879,0.24476178793220546,0.07428639986785775,0.11497001002509034
0,-60.0,0.0,0.006106701414794147,0.29569963056057363,0.16440464786415948,0.15413816980935077
0,-100.0,0.0,0.08593163127429766,0.054087887201127414,0.29623545009941143,0.022824237273275306
1,73.90000000000025,1.0,0.2594924332027367,0.14198920483884753,0.11215991329688657,0.029773018693612045
1,-31.54999999999996,0.0,0.15078780183870183,0.09554348767676982,0.17846696950280802,0.19392962962858468
1,-100.0,0.0,0.0999341734299971,0.22692363633366563,0.082069092291163,0.12149337173950268
1,-67.64999999999974,0.0,0.0063188972992737225,0.3,0.17402187418883686,0.10257499017334504
1,-12.149999999999885,0.0,0.06731453171327846,0.05210837463979519,0.22796115251885346,0.0279872773484728
2,75.25000000000023,1.0,0.2743132678030432,0.16570977428398018,0.1122154120701275,0.030173342355716375
2,-46.49999999999968,0.0,0.12651420189911688,0.12034348076995141,0.13200327218811317,0.2035798731022849
2,-100.0,0.0,0.004832392808409625,0.2995399769627431,0.195482514879355,0.07945622915395692
2,-22.799999999999784,0.0,0.04780766520131358,0.0513128511549571,0.2105876670464358,0.032639205071802194
2,75.10000000000024,1.0,0.2644750270986513,0.19017861481793283,0.10006639014772391,0.02069846245082426
3,74.20000000000024,1.0,0.28074690847669603,0.16381228575058923,0.11379227982677366,0.02949095811641342
3,73.45000000000024,1.0,0.25818437590741145,0.19670639993740452,0.1046693707065269,0.01929169977939956
3,-43.49999999999967,0.0,0.16160972499341741,0.14067389187961235,0.1752079770096742,0.17972069925190737
3,-16.199999999999847,0.0,0.06853863452311462,0.05922613539649939,0.21275833063889202,0.027262001629066418
3,75.40000000000023,1.0,0.25265942572592676,0.261398300172071,0.11020019565737028,0.02539024578302597
4,73.45000000000024,1.0,0.2303182675235498,0.1441254284623828,0.09720840430579923,0.02797558404708026
4,73.60000000000025,1.0,0.3,0.21052080532172993,0.14192326132674277,0.014583762188065619
4,74.80000000000024,1.0,0.1971597641359809,0.24208878227905106,0.09269887558630141,0.026807360922241685
4,-57.5,0.0,0.08148770727522547,0.061616006715051935,0.221943000210344,0.025075918526106144
4,74.80000000000024,1.0,0.21535643217389314,0.1847663141731217,0.11334919018796395,0.02333813897395656
5,71.35000000000028,1.0,0.241624680412587,0.1266698359497614,0.11304847635906486,0.022655047678125317
